hgnc_symbol	chromosome_name	start_position	end_position
AIMP1	4	106315544	106349456
AK2	1	33007986	33080996
AKAP12	6	151239936	151358563
AKR1A1	1	45550475	45570051
AKR1B1	7	134442349	134459284
AKR1C1	10	4963253	4983283
AKR7L	1	19265982	19274194
AKT1S1	19	49869033	49879470
AKT2	19	40230317	40285536
AKT3	HSCHR1_3_CTG32_1	500341	867542
AKT3	1	243488233	243851079
ALCAM	3	105366706	105576909
ALDH1A1	9	72900670	73080442
ALDH2	12	111766887	111817532
ALDH3A1	17	19737984	19748943
ALDH5A1	6	24494798	24537207
ALDOA	16	30064164	30070457
ALDOC	17	28573115	28576948
ALKAL2	2	278286	289623
ALPI	2	232456125	232460753
ALPP	2	232378724	232382889
AMBP	9	114060127	114080970
AMELX	X	11293413	11300761
AMIGO2	12	47075707	47080902
AMN	14	102922663	102933596
AMOTL2	3	134355347	134375479
AMPD3	11	10308162	10507877
AMY1A	1	103650592	103664629
AMY2A	1	103617427	103625780
AMY2B	1	103553815	103579534
ANAPC7	12	110372900	110403730
ANG	14	20682950	20698971
ANGPT1	8	107249482	107498055
ANGPT2	8	6499632	6563409
ANGPTL1	1	178849535	178872204
ANGPTL2	9	127087348	127122645
ANGPTL3	1	62597464	62607196
ANGPTL4	19	8363223	8374371
ANGPTL7	1	11189355	11195981
ANK2	4	112818032	113384231
ANKMY2	7	16599779	16645831
ANKRD46	8	100509752	100559784
ANPEP	15	89784875	89815401
ANXA1	9	73148874	73170629
ANXA10	4	168092537	168187736
ANXA11	10	80150889	80205583
ANXA2	15	60347134	60402883
ANXA3	4	78551621	78610493
ANXA4	2	69643808	69827121
AOC1	7	150824627	150861504
AOC3	17	42851184	42858130
AP1G2	14	23559557	23568070
AP2B1	17	35578046	35726417
AP3B1	5	77991640	78294762
AP3S2	15	89830599	89894638
APBB1IP	10	26438341	26568449
APBB2	4	40810027	41216714
APCS	1	159587826	159588865
APEX1	HG2526_HG2573_PATCH	657872	660453
APEX1	14	20454525	20457779
APLP1	19	35867899	35879803
APOA1	11	116835750	116838203
APOA2	1	161222290	161224305
APOA4	11	116820700	116823304
APOA5	11	116789014	116793026
APOB	HG2231_HG2496_PATCH	52097	94741
APOB	2	21001429	21044073
APOBEC3G	22	39077059	39087743
APOBR	16	28494639	28498964
APOC1	19	44913133	44920054
APOD	3	195568705	195584033
APOE	19	44903787	44909396
APOF	12	56360568	56362857
APOH	17	66211595	66256525
APOL1	22	36253071	36267530
APOM	6	31652416	31658210
APOM	HSCHR6_MHC_SSTO_CTG1	2951694	2957487
APOM	HSCHR6_MHC_COX_CTG1	3129706	3135499
APOM	HSCHR6_MHC_DBB_CTG1	2900187	2905981
APOM	HSCHR6_MHC_QBL_CTG1	2908235	2914028
APOM	HSCHR6_MHC_MCF_CTG1	2994288	3000082
APOM	HSCHR6_MHC_MANN_CTG1	2957462	2963256
APP	21	25880535	26171128
APPL2	12	105172485	105236221
APRT	16	88809339	88811963
ARAF	X	47561182	47571921
AREG	4	74444999	74455005
ARF6	14	49892608	49897054
ARFGAP2	11	47164299	47177474
ARFIP1	4	152779096	152918463
ARFIP2	11	6474683	6481479
ARG1	6	131470832	131584332
ARG2	14	67619920	67651708
ARHGAP1	11	46677075	46700977
ARHGAP25	2	68679601	68826833
ARHGAP30	1	161046946	161069970
ARHGAP45	19	1065923	1086642
ARHGDIA	17	81867719	81871378
ARHGDIB	12	14942015	14961985
ARHGEF1	19	41883079	41930150
ARHGEF10	HSCHR8_8_CTG1	7352	142017
ARHGEF10	8	1823332	1958642
ARHGEF12	11	120336238	120489937
ARHGEF25	12	57610180	57617245
ARHGEF5	HSCHR7_3_CTG4_4	404891	430104
ARHGEF5	7	144355288	144380632
ARL13B	3	93980139	94055678
ARL2BP	16	57245259	57253635
ARL3	10	102673731	102714437
ARNT	1	150808617	150876771
ARSA	22	50622754	50628177
ARSB	5	78777209	78986087
ART3	4	76011184	76114094
ART4	12	14825569	14843526
ASAH1	8	18055992	18084998
ASAH2	10	50182778	50279720
ASAP2	2	9206758	9405683
ASGR1	17	7172535	7179648
ASGR2	17	7100166	7116603
ASIP	20	34194569	34269346
ASL	7	66075800	66094697
ASPN	HG1012_PATCH	290934	317233
ASPN	9	92456205	92492208
ASPSCR1	17	81976807	82017406
ASRGL1	11	62337439	62393412
ASS1	9	130443282	130502361
ATF6	1	161766261	161977574
ATG16L1	HG2232_PATCH	155389	241012
ATG16L1	2	233210051	233295674
ATG4A	X	108091668	108154671
ATOX1	5	151738084	151772532
ATP1B1	1	169105697	169310992
ATP1B2	17	7646627	7657770
ATP2A3	17	3923866	3964491
ATP2B4	1	203626778	203744081
ATP5IF1	HSCHR1_8_CTG3	29753	40550
ATP5IF1	1	28236084	28246906
ATP6AP2	X	40579372	40606848
ATP6V1D	14	67294371	67360265
ATP6V1G1	9	114587706	114598915
ATP6V1G2	6	31544444	31548427
ATP6V1G2	HSCHR6_MHC_SSTO_CTG1	2843746	2846132
ATP6V1G2	HSCHR6_MHC_DBB_CTG1	2792232	2794614
ATP6V1G2	HSCHR6_MHC_COX_CTG1	3021792	3024174
ATP6V1G2	HSCHR6_MHC_MCF_CTG1	2886401	2888783
ATP6V1G2	HSCHR6_MHC_MANN_CTG1	2849515	2851897
ATP6V1G2	HSCHR6_MHC_QBL_CTG1	2800318	2802700
ATRAID	2	27212041	27217178
ATRN	20	3471018	3651118
ATXN10	22	45671798	45845307
ATXN2	12	111443485	111599676
ATXN2L	16	28822999	28837237
ATXN3	14	92044496	92106622
AXIN1	16	287440	352730
AXL	19	41219174	41261766
AZI2	3	28315003	28349050
AZU1	HSCHR19_5_CTG2	3940	10861
AZU1	19	825097	832018
B2M	HSCHR15_3_CTG8	34826	42225
B2M	15	44711253	44718851
B3GAT3	11	62615296	62622154
B3GNT2	2	62195485	62224731
B3GNT7	2	231395671	231408799
B3GNT8	19	41425359	41428730
B4GALT1	9	33100493	33167359
B4GAT1	11	66345374	66347638
BACC1	17	7014495	7017544
BACH1	21	29194071	29630751
BAG3	10	119650879	119677913
BAG4	8	38176533	38213301
BAG6	HSCHR6_MHC_COX_CTG1	3116310	3129995
BAG6	HSCHR6_MHC_DBB_CTG1	2886791	2900476
BAG6	HSCHR6_MHC_SSTO_CTG1	2938304	2951983
BAG6	HSCHR6_MHC_MANN_CTG1	2944068	2957751
BAG6	HSCHR6_MHC_MCF_CTG1	2980907	2994577
BAG6	HSCHR6_MHC_QBL_CTG1	2894841	2908524
BAG6	6	31638544	31652747
BAGE2	21	10454134	10516431
BAIAP2	17	81035122	81117434
BAMBI	10	28677510	28682932
BANK1	4	101411286	102074812
BAX	19	48954815	48961798
BCAM	19	44809070	44821421
BCAN	1	156641390	156659532
BCAR3	1	93561741	93847488
BCAT1	12	24810024	24949556
BCHE	3	165772904	165837462
BCL10	1	85265776	85276632
BCL2	18	63123346	63320128
BCL2L1	20	31664452	31723989
BCL2L11	2	111119378	111168444
BCL2L15	1	113876816	113887581
BCL7B	7	73536355	73557699
BCR	22	23179704	23318037
BDNF	11	27654893	27722058
BECN1	17	42809870	42833350
BGLAP	1	156242184	156243317
BGN	X	153488654	153510299
BID	22	17734138	17774770
BIN2	12	51281038	51324668
BIRC2	11	102347208	102378680
BLMH	17	30248200	30292152
BLNK	10	96189171	96272658
BLOC1S3	19	45178745	45216933
BLVRA	7	43758009	43808097
BLVRB	19	40447765	40465826
BMP10	2	68860909	68871397
BMP4	14	53949736	53958761
BMP6	6	7726049	7881728
BMPER	7	33904308	34156427
BNIP3L	8	26383037	26505636
BOC	3	113210846	113287463
BOLA1	1	149887890	149900798
BOLA2	16	29453588	29455012
BPI	20	38260141	38337505
BPIFA2	20	33161768	33181412
BPIFB1	20	33273480	33310380
BPIFB2	20	33007704	33023709
BRAP	12	111642146	111685991
BRD1	22	49773278	49827944
BRDT	1	91949343	92014426
BRICD5	16	2209253	2210905
BRK1	3	10115673	10127190
BRSK2	HG152_PATCH	124165	196955
BRSK2	11	1389899	1462689
BSG	19	571277	583498
BST1	4	15703000	15775614
BST2	19	17402933	17405665
BTC	4	74744759	74794717
BTD	3	15601341	15722311
BTN1A1	HSCHR6_1_CTG1	46483	56605
BTN1A1	6	26500303	26510425
BTN2A1	HSCHR6_1_CTG1	4084	22801
BTN2A1	6	26457904	26476621
BTN3A2	6	26365159	26382797
C11orf68	11	65916810	65919062
C19orf12	19	29698937	29716060
C1GALT1C1	HG439_PATCH	25742	30122
C1GALT1C1	X	120625674	120630054
C1orf56	1	151047751	151051986
C1QA	1	22635057	22639681
C1QL2	2	119156243	119158751
C1QTNF1	17	79022729	79049788
C1QTNF5	11	119338942	119340940
C1QTNF9	13	24307166	24322535
C1R	HG1398_PATCH	8669	20226
C1R	12	7080213	7092540
C1RL	HG1398_PATCH	17273	36924
C1RL	12	7089587	7109245
C1S	12	6988259	7071281
C2	HSCHR6_MHC_DBB_CTG1	3145559	3193454
C2	HSCHR6_MHC_SSTO_CTG1	3221179	3246863
C2	HSCHR6_MHC_COX_CTG1	3375210	3423101
C2	HSCHR6_MHC_MANN_CTG1	3225156	3250651
C2	HSCHR6_MHC_QBL_CTG1	3153757	3201649
C2	HSCHR6_MHC_MCF_CTG1	3239857	3287710
C2	6	31897785	31945674
C2CD2L	11	119102198	119118544
C2orf69	2	199911293	199955935
C3	19	6677704	6730562
C4A	HSCHR6_MHC_DBB_CTG1	3229797	3250455
C4A	HSCHR6_MHC_QBL_CTG1	3237995	3258653
C4A	HSCHR6_MHC_MCF_CTG1	3356831	3377455
C4A	6	31981991	32004877
C4B	HSCHR6_MHC_DBB_CTG1	3262537	3276826
C4B	HSCHR6_MHC_SSTO_CTG1	3315951	3336608
C4B	HSCHR6_MHC_COX_CTG1	3459451	3473740
C4B	HSCHR6_MHC_MCF_CTG1	3324061	3324087
C4B	6	32014730	32035973
C4BPB	1	207088802	207100001
C5	9	120932987	121075195
C7	5	40909419	41020216
C8A	1	56854768	56918223
C8B	1	56929099	56974383
C9	5	39283982	39371324
C9orf40	9	74946583	74952912
CA1	8	85327608	85379014
CA11	19	48637946	48646386
CA12	15	63321378	63382027
CA13	8	85220587	85284073
CA14	1	150257251	150265078
CA3	8	85373436	85449040
CA4	17	60147838	60170899
CA5A	16	87881546	87936580
CA6	1	8945867	8975092
CA8	8	60185412	60281573
CA9	9	35673928	35681159
CABP2	11	67518912	67524517
CACNB1	17	39173453	39197723
CACNB3	12	48813794	48828941
CACYBP	1	174999163	175012027
CADM1	11	115169218	115504957
CALB1	8	90058608	90095475
CALCA	11	14966622	14972354
CALCB	11	14904997	15082342
CALCOCO1	12	53708517	53727745
CALCOCO2	17	48830971	48868228
CAMK1	3	9757346	9770606
CAMK1D	10	12349547	12835545
CAMK2B	7	44209993	44334577
CAMKK1	17	3860315	3894891
CAMLG	5	134737608	134752705
CAMSAP1	9	135808487	135907546
CANT1	17	78991707	79009867
CANX	HG30_PATCH	444319	497221
CANX	5	179678628	179731641
CAPG	2	85393587	85422017
CAPS	19	5912339	5916211
CARD19	9	93096161	93113283
CARHSP1	16	8852942	8870941
CASC3	17	40140278	40177001
CASP1	11	105023581	105035250
CASP10	2	201182693	201229428
CASP2	7	143288215	143307696
CASP3	4	184627695	184650418
CASP7	10	113679162	113731290
CASP8	2	201233443	201361836
CASP9	1	15490832	15526534
CAST	5	95962001	96631085
CAT	11	34438906	34472061
CBFB	16	67028984	67101058
CBLIF	11	59829273	59845499
CBLN2	18	72534118	72638521
CBLN4	20	55997357	56005519
CBS	21	43050900	43076943
CBX7	22	39120167	39152719
CC2D1A	HG109_PATCH	118042	142720
CC2D1A	19	13906160	13930884
CCAR2	8	22604629	22620964
CCDC134	22	41800321	41832172
CCDC80	3	112596797	112649530
CCER2	HG26_PATCH	318652	321830
CCER2	19	38908980	38912186
CCL11	17	34285742	34288334
CCL13	17	34356480	34358610
CCL14	HSCHR17_7_CTG4	217855	221568
CCL14	17	35983288	35987033
CCL15	HSCHR17_7_CTG4	231004	236612
CCL15	17	35996440	36001553
CCL16	HSCHR17_7_CTG4	211057	216060
CCL16	17	35976194	35981537
CCL17	16	57404767	57416063
CCL18	HSCHR17_7_CTG4	299168	306920
CCL18	HSCHR17_10_CTG4	18377	26129
CCL18	17	36064272	36072032
CCL19	9	34689570	34691276
CCL2	17	34255274	34257208
CCL20	2	227805739	227817564
CCL21	9	34709005	34710167
CCL22	16	57357925	57366191
CCL23	HSCHR17_7_CTG4	247624	252533
CCL23	17	36013056	36017972
CCL24	7	75810825	75823943
CCL25	19	8052293	8062665
CCL26	7	75769533	75789896
CCL27	9	34661880	34664048
CCL28	5	43376645	43412391
CCL3	HSCHR17_7_CTG4	323130	325043
CCL3	HSCHR17_10_CTG4	42353	44266
CCL3	17	36088256	36090169
CCL4	HSCHR17_7_CTG4	338511	340542
CCL4	HSCHR17_10_CTG4	57924	59718
CCL4	17	36103827	36105621
CCL5	HSCHR17_7_CTG4	106023	115325
CCL5	17	35871491	35880793
CCL7	17	34270221	34272242
CCL8	17	34319435	34321402
CCN1	1	85580756	85584589
CCN2	6	131948176	131951456
CCN3	8	119416446	119424434
CCN4	8	133191039	133231690
CCN5	20	44714270	44728509
CCNE1	19	29811471	29824313
CCS	11	66593153	66606019
CCT5	5	10249929	10266389
CD101	1	117001721	117036552
CD109	6	73695785	73828316
CD14	5	140631728	140633700
CD160	1	145719443	145740760
CD163	12	7470811	7503910
CD164	6	109366514	109382469
CD164L2	1	27379176	27383333
CD177	19	43353686	43364395
CD1C	1	158289923	158294774
CD2	1	116754370	116769229
CD200	3	112332235	112363181
CD200R1	3	112921205	112975103
CD200R1L	3	112815709	112846864
CD207	2	70830211	70835816
CD209	19	7739993	7747564
CD22	19	35319261	35347361
CD226	18	69831158	69961803
CD244	1	160830160	160862904
CD248	11	66314494	66317044
CD27	12	6444941	6451718
CD274	9	5450503	5470566
CD276	15	73683966	73714518
CD28	2	203706517	203739756
CD2AP	6	47477752	47627263
CD300A	HG2580_PATCH	42847	61242
CD300A	17	74466399	74484798
CD300C	HG2580_PATCH	117521	122563
CD300C	17	74534362	74546133
CD300E	17	74609878	74623738
CD300LF	17	74694308	74712981
CD300LG	17	43847114	43863639
CD302	2	159768628	159798255
CD33	19	51217033	51243860
CD34	1	207880972	207911402
CD36	7	80369532	80679277
CD38	4	15778275	15853232
CD4	12	6786858	6820807
CD40	20	46118249	46129872
CD40LG	X	136648158	136660390
CD46	1	207752037	207795513
CD48	1	160678746	160711831
CD5	11	61102489	61127852
CD55	1	207321514	207386804
CD58	1	116514534	116571039
CD59	11	33703010	33736639
CD5L	1	157830911	157898256
CD6	11	60971675	61020377
CD63	12	55723511	55730023
CD69	12	9752486	9760901
CD7	17	82313564	82317608
CD70	19	6583183	6604103
CD72	9	35609982	35646810
CD74	5	150401637	150412969
CD79B	17	63928738	63932629
CD80	3	119523898	119569324
CD83	6	14117256	14140682
CD84	1	160541095	160579516
CD86	3	122055362	122121139
CD8A	2	86784610	86808396
CD93	20	23065139	23086324
CD96	3	111292719	111665996
CD99	Y	2690988	2741312
CD99	X	2690988	2741312
CD99L2	X	150766336	150898816
CDA	1	20588932	20618908
CDC26	9	113255835	113275602
CDC27	17	47117703	47189422
CDC37	19	10391090	10420185
CDC42BPB	14	102932380	103057549
CDCP1	3	45082277	45146453
CDH1	16	68737292	68835540
CDH12	5	21750673	22853344
CDH15	16	89171748	89195492
CDH17	8	94124381	94217303
CDH2	18	27932879	28177946
CDH23	10	71396920	71815947
CDH3	16	68636189	68727468
CDH5	16	66366636	66404784
CDH6	5	31193686	31329146
CDHR1	10	84194537	84219621
CDHR2	5	176542511	176596284
CDHR5	HSCHR11_1_CTG8	146464	155977
CDHR5	11	616405	626078
CDK2	12	55966781	55972789
CDK5RAP3	17	47967810	47981781
CDKN1A	6	36676441	36687397
CDKN2D	19	10566460	10569059
CDNF	10	14818270	14838575
CDON	11	125955796	126063335
CDSN	6	31115087	31120446
CDSN	HSCHR6_MHC_DBB_CTG1	2374454	2379793
CDSN	HSCHR6_MHC_COX_CTG1	2597465	2602822
CDSN	HSCHR6_MHC_MCF_CTG1	2459207	2464559
CDSN	HSCHR6_MHC_MANN_CTG1	2425650	2430956
CDSN	HSCHR6_MHC_QBL_CTG1	2373089	2378448
CDY1	Y	25622117	25624902
CEACAM1	19	42507304	42561234
CEACAM16	19	44699151	44710718
CEACAM19	19	44662278	44684360
CEACAM20	19	44501677	44529788
CEACAM21	HSCHR19_3_CTG3_1	95157	132483
CEACAM21	19	41549518	41586844
CEACAM3	19	41796587	41811554
CEACAM5	19	41708585	41730519
CEACAM6	19	41750977	41772211
CEACAM8	19	42580243	42595055
CEBPA	19	33299934	33302534
CEBPB	20	50190734	50192690
CEL	9	133061981	133071861
CELA2A	1	15456728	15472091
CELA3A	1	22001657	22012542
CELSR2	1	109249539	109275751
CEMIP2	9	71683364	71816690
CEND1	11	787115	790113
CENPW	6	126340115	126348875
CEP112	17	65635537	66192251
CEP170	HSCHR1_3_CTG32_1	136536	267429
CEP170	1	243124428	243255793
CEP20	HSCHR16_1_CTG1	1523719	1546626
CEP20	16	15865719	15888644
CEP43	6	166999174	167052718
CEP57	11	95789965	95832693
CEP85	1	26233669	26278814
CERT1	5	75356345	75512138
CES1	HSCHR16_1_CTG3_1	26724	57055
CES1	16	55802845	55833337
CES2	16	66934444	66945096
CES3	16	66961245	66975149
CETN2	HSCHRX_1_CTG14	442184	445947
CETN2	X	152826994	152830782
CETN3	5	90392257	90409786
CFB	HSCHR6_MHC_DBB_CTG1	3193430	3199864
CFB	HSCHR6_MHC_SSTO_CTG1	3246839	3253273
CFB	HSCHR6_MHC_COX_CTG1	3423077	3429511
CFB	HSCHR6_MHC_MANN_CTG1	3250627	3255741
CFB	HSCHR6_MHC_QBL_CTG1	3201625	3208059
CFB	HSCHR6_MHC_MCF_CTG1	3287686	3294120
CFB	6	31945650	31952086
CFC1	2	130592165	130599575
CFD	HSCHR19_5_CTG2	38523	42509
CFD	19	859453	869490
CFH	1	196651754	196752476
CFHR2	HSCHR1_5_CTG31	708861	724748
CFHR2	1	196943731	196964115
CFHR4	1	196888014	196920294
CFHR5	HSCHR1_5_CTG31	740137	774808
CFHR5	1	196975010	197009678
CFI	4	109731008	109802195
CFL1	11	65823022	65862026
CFP	X	47621537	47630305
CGA	6	87085498	87095106
CGREF1	2	27098889	27119128
CHAC2	2	53767804	53775196
CHAD	17	50464496	50468976
CHCHD10	22	23765834	23767982
CHCHD10	HSCHR22_1_CTG7	2196	4805
CHCHD6	3	126704214	126960420
CHGA	HSCHR14_7_CTG1	37642	49855
CHGA	14	92922630	92935293
CHGB	20	5911394	5925361
CHI3L1	1	203178931	203186796
CHIT1	1	203212827	203273641
CHKB	22	50578959	50601455
CHL1	3	196763	409417
CHLSN	7	996973	1138313
CHM	X	85861180	86047561
CHMP1A	16	89640816	89657738
CHMP6	17	80991598	81009517
CHRDL1	X	110673856	110796192
CHRDL2	11	74696429	74731426
CHST15	10	124007668	124093698
CHST3	10	71964395	72013558
CIAPIN1	16	57428177	57447420
CILP	15	65194760	65211478
CIRBP	19	1259384	1274880
CIT	12	119685791	119877332
CKAP2	13	52455429	52476630
CKAP4	12	106237880	106304279
CKB	14	103519660	103523167
CKM	19	45306411	45323372
CKMT1A	15	43692886	43702501
CLASP1	2	121337776	121649599
CLC	19	39731255	39738029
CLEC10A	17	7074537	7081166
CLEC11A	19	50723286	50725719
CLEC12A	12	9951316	9995694
CLEC14A	14	38254000	38256093
CLEC1A	12	10069554	10111627
CLEC1B	12	9985642	10013424
CLEC2D	12	9664969	9699553
CLEC2L	7	139523685	139544985
CLEC3B	3	45001548	45036071
CLEC4A	12	8123617	8138607
CLEC4C	12	7724646	7751620
CLEC4D	12	8509475	8522366
CLEC4G	19	7728957	7733906
CLEC4M	19	7763153	7769606
CLEC5A	7	141927357	141947007
CLEC6A	12	8455962	8478330
CLEC7A	12	10116777	10130258
CLGN	4	140387952	140427661
CLINT1	5	157785743	157859169
CLIP2	7	74289407	74405943
CLK2	HSCHR1_2_CTG31	67891	83514
CLK2	1	155262868	155278491
CLMP	11	123069853	123196697
CLNS1A	11	77514936	77637809
CLPP	19	6361427	6370242
CLPS	6	35794982	35798251
CLSPN	1	35720218	35770002
CLSTN1	1	9728926	9823993
CLSTN2	3	139935185	140577397
CLSTN3	HG1398_PATCH	57384	86631
CLSTN3	12	7128077	7158945
CLTA	9	36190856	36304781
CLU	8	27596917	27615056
CLUL1	18	596988	650334
CMC1	3	28241584	28325142
CMIP	16	81444808	81711762
CMPK1	1	47333790	47394866
CNDP1	18	74534400	74587212
CNP	17	41966763	41977740
CNPY2	12	56308024	56316346
CNPY4	7	100119634	100125508
CNST	1	246566338	246668595
CNTN1	12	40692431	41072415
CNTN2	1	205042937	205078289
CNTN3	3	74262568	74614698
CNTN4	3	2098813	3057963
CNTN5	11	99020949	100358885
CNTNAP2	HSCHR7_3_CTG6	2415	204593
CNTNAP2	7	146116002	148420998
CNTNAP4	16	76277278	76560757
COCH	14	30874438	30895065
COL11A2	HSCHR6_MHC_SSTO_CTG1	4611327	4638113
COL11A2	HSCHR6_MHC_DBB_CTG1	4406180	4435998
COL11A2	HSCHR6_MHC_COX_CTG1	4574189	4604006
COL11A2	HSCHR6_MHC_MANN_CTG1	4582154	4611971
COL11A2	HSCHR6_MHC_MCF_CTG1	4598639	4628455
COL11A2	HSCHR6_MHC_QBL_CTG1	4357085	4386902
COL11A2	6	33162681	33192766
COL15A1	9	98942680	99070797
COL18A1	21	45405123	45513721
COL1A1	17	50184101	50201634
COL24A1	1	85729233	86156943
COL28A1	7	7356203	7535873
COL2A1	12	47972967	48004689
COL3A1	HG2494_PATCH	79333	117706
COL3A1	2	188974371	189012746
COL4A1	13	110148963	110307202
COL5A1	9	134641803	134844843
COL6A3	2	237324003	237414405
COL9A1	6	70216040	70303084
COLEC10	8	118995452	119108455
COLEC11	2	3592791	3644649
COLEC12	18	316737	500722
COLGALT1	19	17555631	17583162
COMMD1	2	61888724	62147629
COMMD7	20	32702648	32743928
COMMD9	11	36269284	36289449
COMP	19	18782773	18791305
COMT	22	19941371	19969975
COPB2	3	139353942	139389736
COPS2	15	49106068	49155661
COQ7	16	19067614	19080095
CORO1A	16	30182817	30189085
COX5B	HG2275_PATCH	572093	574414
COX5B	2	97646062	97648383
COX6B1	19	35648230	35658795
COX6C	8	99873200	99893759
CPA1	7	130380339	130388114
CPA2	7	130266863	130289798
CPA4	7	130293134	130324180
CPB1	3	148791102	148860187
CPB2	13	46052958	46105073
CPE	4	165361194	165498547
CPM	12	68842197	68971570
CPNE1	20	35626031	35664956
CPOX	3	98579446	98593707
CPPED1	16	12659799	12803887
CPQ	8	96645240	97150160
CPVL	7	28994636	29195451
CPXM1	20	2794069	2800658
CPXM2	10	123706207	123940267
CPZ	4	8592660	8619761
CR1	1	207496147	207641776
CR2	1	207453024	207489895
CRACR2A	12	3606633	3764819
CRADD	12	93677375	93894840
CREB3L4	1	153963719	153974364
CREG1	1	167529117	167553822
CRELD1	3	9933793	9945413
CRELD2	22	49917989	49927544
CRH	8	66176376	66178464
CRHBP	5	76953044	76981158
CRIM1	HSCHR2_1_CTG5	6693	7390
CRIM1	2	36355731	36551135
CRIP2	14	105472962	105480162
CRISP2	6	49692358	49714703
CRISP3	6	49727376	49744437
CRKL	22	20917407	20953747
CRLF1	19	18572220	18607741
CRNN	1	152409243	152414263
CRP	1	159712289	159714589
CRTAC1	10	97865000	98030828
CRTAM	11	122829482	122872643
CRTAP	3	33113956	33147773
CRYBB1	22	26599277	26619630
CRYBB2	22	25212564	25231870
CRYGD	HSCHR2_8_CTG7_2	119901	122818
CRYGD	2	208121607	208124524
CRYM	16	21238874	21303083
CRYZL1	21	33589341	33643926
CSDE1	1	114716913	114758704
CSF1	1	109910242	109930993
CSF1R	5	150053291	150113372
CSF2	5	132073789	132076170
CSF2RA	Y	1268779	1325373
CSF2RA	X	1268779	1325373
CSF2RB	22	36913628	36940443
CSF3	17	40015361	40017816
CSF3R	1	36465669	36483322
CSMD2	1	33513998	34165842
CSNK1D	17	82239023	82273700
