Olink ID*	UniProt ID	Protein name	Gene name
OID40046	O15265	Ataxin-7	ATXN7
OID40047	Q5T6C5	Ataxin-7-like protein 2	ATXN7L2
OID40048	Q9H7T9	Aurora kinase A and ninein-interacting protein	AUNIP
OID40049	Q8N9N5	Protein BANP	BANP
OID40050	Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A	BAZ1A
OID40051	O43521	Bcl-2-like protein 11	BCL2L11
OID40052	Q7RTS1	Class A basic helix-loop-helix protein 15	BHLHA15
OID40053	Q96G01	Protein bicaudal D homolog 1	BICD1
OID40054	Q6ZP65	BICD family-like cargo adapter 1	BICDL1
OID40055	Q6AI39	BRD4-interacting chromatin-remodeling complex-associated protein-like	BICRAL
OID40056	Q13323	Bcl-2-interacting killer	BIK
OID40057	O00499	Myc box-dependent-interacting protein 1	BIN1
OID40058	Q13489	Baculoviral IAP repeat-containing protein 3	BIRC3
OID40059	Q96CA5	Baculoviral IAP repeat-containing protein 7	BIRC7
OID40060	P54132	RecQ-like DNA helicase BLM	BLM
OID40061	Q9H2G9	Golgin-45	BLZF1
OID40062	P35226	Polycomb complex protein BMI-1	BMI1
OID40063	O00238	Bone morphogenetic protein receptor type-1B	BMPR1B
OID40064	Q8NFC6	Biorientation of chromosomes in cell division protein 1-like 1	BOD1L1
OID40065	Q9BQP9	BPI fold-containing family A member 3	BPIFA3
OID40066	P55201	Peregrin	BRPF1
OID40067	Q9NY30	Protein BTG4	BTG4
OID40068	Q13895	Bystin	BYSL
OID40069	Q5T681	Uncharacterized protein C10orf62	C10orf62
OID40070	Q8IYJ2	Uncharacterized protein C10orf67, mitochondrial	C10orf67
OID40071	Q96M02	(E2-independent) E3 ubiquitin-conjugating enzyme FATS	C10orf90
OID40072	Q96LP6	Uncharacterized protein C12orf42	C12orf42
OID40073	Q8N769	Uncharacterized protein C14orf178	C14orf178
OID40074	Q5SNV9	Uncharacterized protein C1orf167	C1orf167
OID40075	Q9BZE7	UPF0193 protein EVG1	C22orf23
OID40076	Q8TF44	C2 calcium-dependent domain-containing protein 4C	C2CD4C
OID40077	Q9NWW7	Uncharacterized protein C2orf42	C2orf42
OID40078	Q53S99	Folate transporter-like protein C2orf83	C2orf83
OID40079	Q53FE4	Uncharacterized protein C4orf17	C4orf17
OID40080	Q5T0Z8	Uncharacterized protein C6orf132	C6orf132
OID40081	Q5VYM1	Uncharacterized protein C9orf131	C9orf131
OID40082	P57796	Calcium-binding protein 4	CABP4
OID40083	O00305	Voltage-dependent L-type calcium channel subunit beta-4	CACNB4
OID40084	Q8WUQ7	Cactin	CACTIN
OID40085	Q8TC20	Cancer-associated gene 1 protein	CAGE1
OID40086	Q96NX5	Calcium/calmodulin-dependent protein kinase type 1G	CAMK1G
OID40087	Q8WWF8	Calcyphosin-like protein	CAPSL
OID40088	Q8WXD9	Caskin-1	CASKIN1
OID40089	Q8NA61	Protein chibby homolog 2	CBY2
OID40090	Q6ZUS5	Coiled-coil domain-containing protein 121	CCDC121
OID40091	P0C7W6	Coiled-coil domain-containing protein 172	CCDC172
OID40092	Q5TID7	Coiled-coil domain-containing protein 181	CCDC181
OID40093	Q5VVM6	Coiled-coil domain-containing protein 30	CCDC30
OID40094	Q8N5R6	Coiled-coil domain-containing protein 33	CCDC33
OID40095	A6NI79	Coiled-coil domain-containing protein 69	CCDC69
OID40096	P24385	G1/S-specific cyclin-D1	CCND1
OID40097	Q6UXZ3	CMRF35-like molecule 5	CD300LD
OID40098	P30307	M-phase inducer phosphatase 3	CDC25C
OID40099	Q69YH5	Cell division cycle-associated protein 2	CDCA2
OID40100	Q99618	Cell division cycle-associated protein 3	CDCA3
OID40101	Q53HL2	Borealin	CDCA8
OID40102	O75871	Carcinoembryonic antigen-related cell adhesion molecule 4	CEACAM4
OID40103	Q8N2Z9	Centromere protein S	CENPS
OID40104	Q5JTW2	Centrosomal protein of 78 kDa	CEP78
OID40105	Q9Y592	Centrosomal protein of 83 kDa	CEP83
OID40106	O95813	Cerberus	CER1
OID40107	Q12798	Centrin-1	CETN1
OID40108	Q5VTH2	Protein Flattop	CFAP126
OID40109	Q6ZVT6	Protein CFAP20DC	CFAP20DC
OID40110	Q8NDM7	Cilia- and flagella-associated protein 43	CFAP43
OID40111	Q9C0B2	Cilia- and flagella-associated protein 74	CFAP74
OID40112	Q9P2B7	Cilia- and flagella-associated protein 97	CFAP97
OID40113	Q13112	Chromatin assembly factor 1 subunit B	CHAF1B
OID40114	Q96JM3	Chromosome alignment-maintaining phosphoprotein 1	CHAMP1
OID40115	O14647	Chromodomain-helicase-DNA-binding protein 2	CHD2
OID40116	O43916	Carbohydrate sulfotransferase 1	CHST1
OID40117	O76071	Probable cytosolic iron-sulfur protein assembly protein CIAO1	CIAO1
OID40118	Q9C0C6	CLOCK-interacting pacemaker	CIPC
OID40119	Q8N5K1	CDGSH iron-sulfur domain-containing protein 2	CISD2
OID40120	Q96F83	Uncharacterized protein CLBA1	CLBA1
OID40121	Q9HAE3	Calaxin	CLXN
OID40122	Q969H4	Connector enhancer of kinase suppressor of ras 1	CNKSR1
OID40123	Q9UKZ1	CCR4-NOT transcription complex subunit 11	CNOT11
OID40124	Q86Y22	Collagen alpha-1(XXIII) chain	COL23A1
OID40125	Q14031	Collagen alpha-6(IV) chain	COL4A6
OID40126	Q9Y215	Acetylcholinesterase collagenic tail peptide	COLQ
OID40127	Q86VX2	COMM domain-containing protein 7	COMMD7
OID40128	Q9P2I0	Cleavage and polyadenylation specificity factor subunit 2	CPSF2
OID40129	Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3	CPSF3
OID40130	Q8IUH2	Protein CREG2	CREG2
OID40131	Q86T23	Putative ciliary rootlet coiled-coil protein-like 1 protein	CROCCP2
OID40132	Q8IVE0	Putative ciliary rootlet coiled-coil protein-like 2 protein	CROCCP3
OID40133	P02489	Alpha-crystallin A chain	CRYAA
OID40134	P78368	Casein kinase I isoform gamma-2	CSNK1G2
OID40135	Q9H114	Cystatin-like 1	CSTL1
OID40136	Q5HYN5	Cancer/testis antigen family 45 member A1	CT45A1
OID40137	O15194	CTD small phosphatase-like protein	CTDSPL
OID40138	Q9UI47	Catenin alpha-3	CTNNA3
OID40139	O60716	Catenin delta-1	CTNND1
OID40140	Q5NE16	Putative inactive cathepsin L-like protein CTSL3P	CTSL3P
OID40141	Q9P2B4	CTTNBP2 N-terminal-like protein	CTTNBP2NL
OID40142	Q14999	Cullin-7	CUL7
OID40143	Q69YN2	CWF19-like protein 1	CWF19L1
OID40144	P0DPH9	Uncharacterized protein CXorf51B	CXorf51B
OID40145	Q14093	Cylicin-2	CYLC2
OID40146	A8MQ03	Cysteine-rich tail protein 1	CYSRT1
OID40147	O75553	Disabled homolog 1	DAB1
OID40148	Q5VWQ8	Disabled homolog 2-interacting protein	DAB2IP
OID40149	Q5T6F0	DDB1- and CUL4-associated factor 12	DCAF12
OID40150	A2VCK2	Doublecortin domain-containing protein 2B	DCDC2B
OID40151	Q9C098	Serine/threonine-protein kinase DCLK3	DCLK3
OID40152	Q8WTU0	Protein DDI1 homolog 1	DDI1
OID40153	P35638	DNA damage-inducible transcript 3 protein	DDIT3
OID40154	Q6ZN54	Differentially expressed in FDCP 8 homolog	DEF8
OID40155	Q5TB30	DEP domain-containing protein 1A	DEPDC1
OID40156	Q05D60	Deuterosome assembly protein 1	DEUP1
OID40157	Q9Y2E4	Disco-interacting protein 2 homolog C	DIP2C
OID40158	Q8IYB7	DIS3-like exonuclease 2	DIS3L2
OID40159	Q155Q3	Dixin	DIXDC1
OID40160	Q6UYE1	Leukemia-associated protein 7	DLEU7
OID40161	O60479	Homeobox protein DLX-3	DLX3
OID40162	Q5HYR2	Doublesex- and mab-3-related transcription factor C1	DMRTC1
OID40163	Q9NVR5	Protein kintoun	DNAAF2
OID40164	Q8WXU2	Dynein axonemal assembly factor 4	DNAAF4
OID40165	Q9NQM4	Dynein axonemal assembly factor 6	DNAAF6
OID40166	Q96DT5	Dynein axonemal heavy chain 11	DNAH11
OID40167	Q8WXX0	Dynein axonemal heavy chain 7	DNAH7
OID40168	Q9NYC9	Dynein axonemal heavy chain 9	DNAH9
OID40169	Q9NZQ0	DnaJ homolog subfamily C member 27	DNAJC27
OID40170	O14645	Axonemal dynein light intermediate polypeptide 1	DNALI1
OID40171	Q9BU89	Deoxyhypusine hydroxylase	DOHH
OID40172	Q18PE1	Protein Dok-7	DOK7
OID40173	Q9Y3R5	Protein dopey-2	DOP1B
OID40174	Q7L190	Developmental pluripotency-associated protein 4	DPPA4
OID40175	Q96MC2	Dynein regulatory complex protein 1	DRC1
OID40176	Q9H069	Dynein regulatory complex subunit 3	DRC3
OID40177	A6NNA5	Dorsal root ganglia homeobox protein	DRGX
OID40178	Q6ZMT9	Death domain-containing protein 1	DTHD1
OID40179	Q6P1R4	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like	DUS1L
OID40180	Q9NX74	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like	DUS2
OID40181	Q96G46	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	DUS3L
OID40182	Q9NR20	Dual specificity tyrosine-phosphorylation-regulated kinase 4	DYRK4
OID40183	Q9NVP4	Double zinc ribbon and ankyrin repeat-containing protein 1	DZANK1
OID40184	O95905	Protein ecdysoneless homolog	ECD
OID40185	Q5VYK3	Proteasome adapter and scaffold protein ECM29	ECPAS
OID40186	Q8WWZ3	Ectodysplasin-A receptor-associated adapter protein	EDARADD
OID40187	Q8IY85	EF-hand calcium-binding domain-containing protein 13	EFCAB13
OID40188	Q9H9B1	Histone-lysine N-methyltransferase EHMT1	EHMT1
OID40189	Q9Y6B2	EP300-interacting inhibitor of differentiation 1	EID1
OID40190	Q9BQI3	Eukaryotic translation initiation factor 2-alpha kinase 1	EIF2AK1
OID40191	Q13144	Translation initiation factor eIF-2B subunit epsilon	EIF2B5
OID40192	Q7L2H7	Eukaryotic translation initiation factor 3 subunit M	EIF3M
OID40193	Q6IS14	Eukaryotic translation initiation factor 5A-1-like	EIF5AL1
OID40194	Q9UKW6	ETS-related transcription factor Elf-5	ELF5
OID40195	Q9NPA0	ER membrane protein complex subunit 7	EMC7
OID40196	Q96AY2	Crossover junction endonuclease EME1	EME1
OID40197	O00423	Echinoderm microtubule-associated protein-like 1	EML1
OID40198	P19622	Homeobox protein engrailed-2	EN2
OID40199	O94919	Endonuclease domain-containing 1 protein	ENDOD1
OID40200	Q96L91	E1A-binding protein p400	EP400
OID40201	Q6ZTU2	Putative EP400-like protein	EP400P1
OID40202	Q99814	Endothelial PAS domain-containing protein 1	EPAS1
OID40203	P29320	Ephrin type-A receptor 3	EPHA3
OID40204	Q2NKX8	DNA excision repair protein ERCC-6-like	ERCC6L
OID40205	P11308	Transcriptional regulator ERG	ERG
OID40206	A8K979	ERI1 exoribonuclease 2	ERI2
OID40207	P43268	ETS translocation variant 4	ETV4
OID40208	Q9UI08	Ena/VASP-like protein	EVL
OID40209	A8MZ36	Envoplakin-like protein	EVPLL
OID40210	Q03828	Homeobox even-skipped homolog protein 2	EVX2
OID40212	Q9NQT4	Exosome complex component RRP46	EXOSC5
OID40213	Q8NEV8	Exophilin-5	EXPH5
OID40214	P0DMU3	FAM231A/C-like protein LOC102723383	F231L
OID40215	Q6SJ93	Serine protease FAM111B	FAM111B
OID40216	Q9NX05	Constitutive coactivator of PPAR-gamma-like protein 2	FAM120C
OID40217	Q8NE31	Protein FAM13C	FAM13C
OID40218	Q9UHL3	Protein FAM153A	FAM153A
OID40219	Q6J272	Protein FAM166A	FAM166A
OID40220	Q96KS9	Protein FAM167A	FAM167A
OID40221	A6NMN3	Protein FAM170B	FAM170B
OID40222	A6PVY3	Protein FAM177B	FAM177B
OID40223	Q9ULE4	Protein FAM184B	FAM184B
OID40224	Q8IYM0	Protein FAM186B	FAM186B
OID40225	Q96PV7	Protein FAM193B	FAM193B
OID40226	Q8WU58	Protein FAM222B	FAM222B
OID40227	F5H4B4	Protein FAM227A	FAM227A
OID40228	Q86W67	Protein FAM228A	FAM228A
OID40229	Q96LP2	Protein FAM81B	FAM81B
OID40230	Q9BQN1	Protein FAM83C	FAM83C
OID40231	O94887	FERM, ARHGEF and pleckstrin domain-containing protein 2	FARP2
OID40232	Q6PCT2	F-box/LRR-repeat protein 19	FBXL19
OID40233	Q9UJT9	F-box/LRR-repeat protein 7	FBXL7
OID40234	Q5XUX0	F-box only protein 31	FBXO31
OID40235	Q9NWN3	F-box only protein 34	FBXO34
OID40236	Q9UH90	F-box only protein 40	FBXO40
OID40237	Q6P3S6	F-box only protein 42	FBXO42
OID40238	O14526	F-BAR domain only protein 1	FCHO1
OID40239	O94868	F-BAR and double SH3 domains protein 2	FCHSD2
OID40240	P22570	NADPH:adrenodoxin oxidoreductase, mitochondrial	FDXR
OID40241	P05230	Fibroblast growth factor 1	FGF1
OID40242	B1AJZ9	Forkhead-associated domain-containing protein 1	FHAD1
OID40243	Q2V2M9	FH1/FH2 domain-containing protein 3	FHOD3
OID40244	Q7Z7B0	Filamin-A-interacting protein 1	FILIP1
OID40245	Q96Q35	Flagellum-associated coiled-coil domain-containing protein 1	FLACC1
OID40246	Q8NFG4	Folliculin	FLCN
OID40247	Q96M66	Putative uncharacterized protein FLJ32790	YP010
OID40248	P55316	Forkhead box protein G1	FOXG1
OID40249	Q12952	Forkhead box protein L1	FOXL1
OID40250	O15353	Forkhead box protein N1	FOXN1
OID40251	Q8IVH2	Forkhead box protein P4	FOXP4
OID40252	Q96NE9	FERM domain-containing protein 6	FRMD6
OID40253	Q9BZ67	FERM domain-containing protein 8	FRMD8
OID40254	Q5SYB0	FERM and PDZ domain-containing protein 1	FRMPD1
OID40255	Q6IN97	Putative protein FRMPD2-like	FRMPD2B
OID40256	Q5CZC0	Fibrous sheath-interacting protein 2	FSIP2
OID40257	Q96I24	Far upstream element-binding protein 3	FUBP3
OID40258	O00144	Frizzled-9	FZD9
OID40259	Q2WGN9	GRB2-associated-binding protein 4	GAB4
OID40260	O14976	Cyclin-G-associated kinase	GAK
OID40261	Q8TET4	Neutral alpha-glucosidase C	GANC
OID40262	O95995	Dynein regulatory complex subunit 4	GAS8
OID40263	Q92538	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	GBF1
OID40264	Q8N9F7	Lysophospholipase D GDPD1	GDPD1
OID40265	Q9UJY4	ADP-ribosylation factor-binding protein GGA2	GGA2
OID40266	Q9Y6H8	Gap junction alpha-3 protein	GJA3
OID40267	Q5VSY0	G kinase-anchoring protein 1	GKAP1
OID40268	Q53GS7	mRNA export factor GLE1	GLE1
OID40269	Q9NZD2	Glycolipid transfer protein	GLTP
OID40270	Q9UKD1	Glucocorticoid modulatory element-binding protein 2	GMEB2
OID40271	A6NEF3_A6NEM1_A6NI86	Putative golgin subfamily A member 6-like protein 3	GOLGA6L4_GOLGA6L9_GOLGA6L10
OID40272	A6NN73	Golgin subfamily A member 8C	GOLGA8CP
OID40273	O75487	Glypican-4	GPC4
OID40274	Q8IZ08	G-protein coupled receptor 135	GPR135
OID40275	Q9Y4H4	G-protein-signaling modulator 3	GPSM3
OID40276	P32298	G protein-coupled receptor kinase 4	GRK4
OID40277	P57764	Gasdermin-D	GSDMD
OID40278	Q6UXU4	Germ cell-specific gene 1-like protein	GSG1L
OID40279	Q969Y2	tRNA modification GTPase GTPBP3, mitochondrial	GTPBP3
OID40280	Q9H1H1	Gametocyte-specific factor 1-like	GTSF1L
OID40281	P02724	Glycophorin-A	GYPA
OID40282	Q9UQL6	Histone deacetylase 5	HDAC5
OID40283	Q5TGJ6	Hepatoma-derived growth factor-like protein 1	HDGFL1
OID40284	Q9P2P5	E3 ubiquitin-protein ligase HECW2	HECW2
OID40285	Q8NG08	DNA helicase B	HELB
OID40286	Q9HCC6	Transcription factor HES-4	HES4
OID40287	C9JL84	HERV-H LTR-associating protein 1	HHLA1
OID40288	Q9H422	Homeodomain-interacting protein kinase 3	HIPK3
OID40289	Q8NE63	Homeodomain-interacting protein kinase 4	HIPK4
OID40290	P41235	Hepatocyte nuclear factor 4-alpha	HNF4A
OID40291	Q9UJC3	Protein Hook homolog 1	HOOK1
OID40292	Q9UPZ3	BLOC-2 complex member HPS5	HPS5
OID40293	Q53GQ0	Very-long-chain 3-oxoacyl-CoA reductase	HSD17B12
OID40294	P37059	17-beta-hydroxysteroid dehydrogenase type 2	HSD17B2
OID40295	Q9UBD0	Heat shock transcription factor, X-linked	HSFX1_HSFX2
OID40296	O43301	Heat shock 70 kDa protein 12A	HSPA12A
OID40297	O95757	Heat shock 70 kDa protein 4L	HSPA4L
OID40298	Q96M11	Centriolar and ciliogenesis-associated protein HYLS1	HYLS1
OID40299	Q02363	DNA-binding protein inhibitor ID-2	ID2
OID40300	Q9BTL4	Immediate early response gene 2 protein	IER2
OID40301	P01563	Interferon alpha-2	IFNA2
OID40302	P01574	Interferon beta	IFNB1
OID40303	K9M1U5	Interferon lambda-4	IFNL4
OID40304	Q9H7X7	Intraflagellar transport protein 22 homolog	IFT22
OID40305	Q5DX21	Immunoglobulin superfamily member 11	IGSF11
OID40306	Q14626	Interleukin-11 receptor subunit alpha	IL11RA
OID40307	Q8NFR9	Interleukin-17 receptor E	IL17RE
OID40309	Q9NQS7	Inner centromere protein	INCENP
OID40310	Q9Y2H2	Phosphatidylinositide phosphatase SAC2	INPP5F
OID40311	Q2T9L4	Inhibitory synaptic factor 1	INSYN1
OID40312	A6NMK8	Protein INSYN2B	INSYN2B
OID40313	Q86XH1	Dynein regulatory complex protein 11	IQCA1
OID40314	A6NCM1	IQ and AAA domain-containing protein 1-like	IQCA1L
OID40315	Q8NA54	IQ and ubiquitin-like domain-containing protein	IQUB
OID40316	Q5VVH5	Interleukin-1 receptor-associated kinase 1-binding protein 1	IRAK1BP1
OID40317	Q13349	Integrin alpha-D	ITGAD
OID40318	Q13352	Centromere protein R	ITGB3BP
OID40319	P23677	Inositol-trisphosphate 3-kinase A	ITPKA
OID40320	P28290	Protein ITPRID2	ITPRID2
OID40321	Q6IE81	Protein Jade-1	JADE1
OID40322	Q5VZ66	Janus kinase and microtubule-interacting protein 3	JAKMIP3
OID40323	Q86VZ6	Juxtaposed with another zinc finger protein 1	JAZF1
OID40324	Q9P266	Junctional cadherin 5-associated protein	JCAD
OID40325	Q6NYC1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	JMJD6
OID40326	O60229	Kalirin	KALRN
OID40327	Q5T7N3	KN motif and ankyrin repeat domain-containing protein 4	KANK4
OID40328	Q92831	Histone acetyltransferase KAT2B	KAT2B
OID40329	Q9Y2W7	Calsenilin	KCNIP3
OID40330	Q14654	ATP-sensitive inward rectifier potassium channel 11	KCNJ11
OID40331	Q7Z5Y7	BTB/POZ domain-containing protein KCTD20	KCTD20
OID40332	O60341	Lysine-specific histone demethylase 1A	KDM1A
OID40333	P29375	Lysine-specific demethylase 5A	KDM5A
OID40334	Q92628	Uncharacterized protein KIAA0232	KIAA0232
OID40335	Q2KHM9	Protein moonraker	KIAA0753
OID40336	Q5T5P2	Sickle tail protein homolog	KIAA1217
OID40337	Q5VZ46	Uncharacterized protein KIAA1614	KIAA1614
OID40338	Q8N8K9	Uncharacterized protein KIAA1958	KIAA1958
OID40339	Q5HYC2	Uncharacterized protein KIAA2026	KIAA2026
OID40340	Q9H1H9	Kinesin-like protein KIF13A	KIF13A
OID40341	Q9NQT8	Kinesin-like protein KIF13B	KIF13B
OID40342	Q2KJY2	Kinesin-like protein KIF26B	KIF26B
OID40343	B7ZC32	Kinesin-like protein KIF28P	KIF28P
OID40344	Q8N4N8	Kinesin-like protein KIF2B	KIF2B
OID40345	Q6ZMV9	Kinesin-like protein KIF6	KIF6
OID40346	Q96AC6	Kinesin-like protein KIFC2	KIFC2
OID40347	O60870	DNA/RNA-binding protein KIN17	KIN
OID40349	Q8IZU9	Kin of IRRE-like protein 3	KIRREL3
OID40350	Q9UIH9	Krueppel-like factor 15	KLF15
OID40351	O95600	Krueppel-like factor 8	KLF8
OID40352	Q8NEZ4	Histone-lysine N-methyltransferase 2C	KMT2C
OID40353	Q76NI1	Kinase non-catalytic C-lobe domain-containing protein 1	KNDC1
OID40354	Q9Y448	Small kinetochore-associated protein	KNSTRN
OID40355	A9QM74	Importin subunit alpha-8	KPNA7
OID40356	A5PL33	Protein KRBA1	KRBA1
OID40357	Q8N9T8	Protein KRI1 homolog	KRI1
OID40358	O00522	Krev interaction trapped protein 1	KRIT1
OID40359	Q99456	Keratin, type I cytoskeletal 12	KRT12
OID40360	P35900	Keratin, type I cytoskeletal 20	KRT20
OID40361	Q8NA19	Lethal(3)malignant brain tumor-like protein 4	L3MBTL4
OID40362	Q6UWM7	Lactase-like protein	LCTL
OID40363	O75112	LIM domain-binding protein 3	LDB3
OID40364	P50458	LIM/homeobox protein Lhx2	LHX2
OID40365	Q9UPQ0	LIM and calponin homology domains-containing protein 1	LIMCH1
OID40366	Q5TKA1	Protein lin-9 homolog	LIN9
OID40367	Q8N7U9	Putative uncharacterized protein encoded by LINC00469	LINC00469
OID40368	Q8N535	Putative uncharacterized protein encoded by LINC00471	LINC00471
OID40369	Q8N9X3	Putative uncharacterized protein encoded by LINC01356	LINC01356
OID40370	P61968	LIM domain transcription factor LMO4	LMO4
OID40371	Q1L5Z9	LON peptidase N-terminal domain and RING finger protein 2	LONRF2
OID40372	Q9P244	Leucine-rich repeat and fibronectin type III domain-containing protein 1	LRFN1
OID40373	A6NDA9	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2	LRIT2
OID40374	Q9BTT6	Leucine-rich repeat-containing protein 1	LRRC1
OID40375	Q9C0I9	Leucine-rich repeat-containing protein 27	LRRC27
OID40376	Q8N309	Leucine-rich repeat-containing protein 43	LRRC43
OID40377	Q8NAA5	Leucine-rich repeat-containing protein 75A	LRRC75A
OID40378	Q86UE6	Leucine-rich repeat transmembrane neuronal protein 1	LRRTM1
OID40379	Q6Q4G3	Aminopeptidase Q	LVRN
OID40380	Q17RY6	Lymphocyte antigen 6K	LY6K
OID40381	Q6ZN28	Metastasis-associated in colon cancer protein 1	MACC1
OID40382	A1Z1Q3	ADP-ribose glycohydrolase MACROD2	MACROD2
OID40383	Q8WXG6	MAP kinase-activating death domain protein	MADD
OID40384	P43355	Melanoma-associated antigen 1	MAGEA1
OID40385	O15480	Melanoma-associated antigen B3	MAGEB3
OID40386	O15481	Melanoma-associated antigen B4	MAGEB4
OID40387	Q96JG8	Melanoma-associated antigen D4	MAGED4
OID40388	P20794	Serine/threonine-protein kinase MAK	MAK
OID40389	O43283	Mitogen-activated protein kinase kinase kinase 13	MAP3K13
OID40390	Q99759	Mitogen-activated protein kinase kinase kinase 3	MAP3K3
OID40391	Q9Y6R4	Mitogen-activated protein kinase kinase kinase 4	MAP3K4
OID40392	Q14244	Ensconsin	MAP7
OID40393	P53778	Mitogen-activated protein kinase 12	MAPK12
OID40394	P31152	Mitogen-activated protein kinase 4	MAPK4
OID40395	Q16644	MAP kinase-activated protein kinase 3	MAPKAPK3
OID40396	Q8N8E1	Putative uncharacterized protein encoded by MAPKAPK5-AS1	MAPKAPK5-AS1
OID40397	O60336	Mitogen-activated protein kinase-binding protein 1	MAPKBP1
OID40398	Q9Y2H9	Microtubule-associated serine/threonine-protein kinase 1	MAST1
OID40399	A4D2B0	Metallo-beta-lactamase domain-containing protein 1	MBLAC1
OID40400	Q96RQ3	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	MCCC1
OID40401	Q86YR7	Probable guanine nucleotide exchange factor MCF2L2	MCF2L2
OID40402	Q9BTE3	Mini-chromosome maintenance complex-binding protein	MCMBP
OID40403	Q14676	Mediator of DNA damage checkpoint protein 1	MDC1
OID40404	Q93074	Mediator of RNA polymerase II transcription subunit 12	MED12
OID40405	O14770	Homeobox protein Meis2	MEIS2
OID40406	P0C7V9	Putative methyltransferase-like protein 15P1	METTL15P1
OID40407	Q86W50	RNA N6-adenosine-methyltransferase METTL16	METTL16
OID40408	Q8N6Q8	Probable methyltransferase-like protein 25	METTL25
OID40409	Q5JXC2	Migration and invasion-inhibitory protein	MIIP
OID40410	Q4G0A6	Probable ubiquitin carboxyl-terminal hydrolase MINDY-4	MINDY4
OID40411	A8MYZ0	Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B	MINDY4B
OID40412	P58340	Myeloid leukemia factor 1	MLF1
OID40413	Q9HAP2	MLX-interacting protein	MLXIP
